Date,Open,High,Low,Close,Adj Close,Volume
2018-04-20,1.890000,1.950000,1.880000,1.950000,1.851467,115600
2018-04-23,1.940000,1.950000,1.890000,1.890000,1.794499,52900
2018-04-24,1.900000,1.940000,1.890000,1.900000,1.803994,138600
2018-04-25,1.890000,1.930000,1.880000,1.910000,1.813488,123500
2018-04-26,1.920000,1.920000,1.880000,1.910000,1.813488,70000
2018-04-27,1.900000,1.930000,1.900000,1.930000,1.832478,35800
2018-04-30,1.890000,1.930000,1.890000,1.900000,1.803994,26700
2018-05-02,1.880000,1.930000,1.880000,1.890000,1.794499,72600
2018-05-03,1.910000,1.930000,1.890000,1.900000,1.803994,121100
2018-05-04,1.900000,1.920000,1.890000,1.890000,1.794499,46500
2018-05-07,1.890000,1.900000,1.850000,1.860000,1.766015,153200
2018-05-08,1.860000,1.900000,1.860000,1.860000,1.766015,69300
2018-05-09,1.860000,1.900000,1.850000,1.900000,1.803994,92000
2018-05-10,1.890000,1.890000,1.870000,1.870000,1.775510,26500
2018-05-11,1.870000,1.900000,1.850000,1.870000,1.775510,520800
2018-05-14,1.870000,1.880000,1.840000,1.850000,1.756520,88400
2018-05-15,1.850000,1.850000,1.810000,1.840000,1.747026,105800
2018-05-16,1.840000,1.840000,1.810000,1.820000,1.728036,54800
2018-05-17,1.820000,1.840000,1.800000,1.800000,1.709047,263100
2018-05-18,1.820000,1.820000,1.750000,1.800000,1.709047,117000
2018-05-21,1.830000,1.830000,1.790000,1.800000,1.709047,13800
2018-05-22,1.810000,1.850000,1.790000,1.850000,1.756520,152300
2018-05-23,1.840000,1.850000,1.810000,1.810000,1.718542,12500
2018-05-24,1.800000,1.810000,1.790000,1.790000,1.699552,67600
2018-05-25,1.800000,1.800000,1.790000,1.790000,1.699552,34300
2018-05-28,1.800000,1.800000,1.730000,1.740000,1.652079,193900
2018-05-29,1.740000,1.770000,1.720000,1.750000,1.661573,146800
2018-05-30,1.750000,1.850000,1.740000,1.850000,1.756520,90100
2018-06-01,1.770000,1.830000,1.710000,1.730000,1.642584,156200
2018-06-04,1.740000,1.820000,1.730000,1.810000,1.718542,56800
2018-06-05,1.800000,1.800000,1.750000,1.750000,1.661573,14600
2018-06-06,1.710000,1.770000,1.710000,1.720000,1.633089,61700
2018-06-07,1.720000,1.720000,1.640000,1.700000,1.614100,613700
2018-06-08,1.710000,1.750000,1.670000,1.700000,1.614100,42100
2018-06-11,1.690000,1.710000,1.660000,1.670000,1.585616,30600
2018-06-12,1.670000,1.760000,1.670000,1.750000,1.661573,52000
2018-06-13,1.720000,1.740000,1.670000,1.700000,1.614100,17700
2018-06-14,1.680000,1.710000,1.680000,1.680000,1.595110,9900
2018-06-15,1.700000,1.700000,1.610000,1.620000,1.538142,93200
2018-06-18,1.620000,1.650000,1.610000,1.610000,1.528647,102000
2018-06-19,1.610000,1.690000,1.600000,1.610000,1.528647,141800
2018-06-20,1.610000,1.650000,1.610000,1.630000,1.547637,43300
2018-06-21,1.640000,1.640000,1.600000,1.600000,1.519153,23100
2018-06-22,1.610000,1.630000,1.600000,1.600000,1.519153,13700
2018-06-25,1.630000,1.700000,1.610000,1.700000,1.614100,31200
2018-06-26,1.700000,1.710000,1.630000,1.680000,1.595110,32500
2018-06-27,1.720000,1.720000,1.640000,1.690000,1.604605,22400
2018-06-28,1.690000,1.690000,1.630000,1.690000,1.604605,34300
2018-06-29,1.690000,1.700000,1.690000,1.700000,1.614100,31600
2018-07-02,1.700000,1.720000,1.690000,1.720000,1.633089,25200
2018-07-03,1.700000,1.740000,1.700000,1.740000,1.652079,51500
2018-07-04,1.720000,1.770000,1.700000,1.770000,1.680562,25700
2018-07-05,1.730000,1.770000,1.710000,1.710000,1.623595,91300
2018-07-06,1.710000,1.750000,1.710000,1.750000,1.661573,33100
2018-07-10,1.730000,1.760000,1.720000,1.750000,1.661573,28300
2018-07-11,1.760000,1.760000,1.720000,1.740000,1.652079,47200
2018-07-12,1.760000,1.760000,1.710000,1.720000,1.633089,36700
2018-07-13,1.720000,1.740000,1.700000,1.720000,1.633089,30000
2018-07-16,1.700000,1.750000,1.700000,1.750000,1.661573,33000
2018-07-17,1.740000,1.750000,1.710000,1.730000,1.642584,67800
2018-07-18,1.730000,1.740000,1.710000,1.720000,1.633089,56700
2018-07-19,1.710000,1.730000,1.710000,1.730000,1.642584,9200
2018-07-20,1.740000,1.760000,1.720000,1.730000,1.642584,90300
2018-07-23,1.710000,1.730000,1.710000,1.710000,1.623595,40500
2018-07-24,1.710000,1.730000,1.710000,1.720000,1.633089,74200
2018-07-25,1.720000,1.770000,1.720000,1.770000,1.680562,67800
2018-07-26,1.760000,1.760000,1.720000,1.740000,1.652079,24200
2018-07-27,1.750000,1.760000,1.710000,1.750000,1.661573,66700
2018-07-30,1.770000,1.770000,1.730000,1.740000,1.652079,49400
2018-07-31,1.740000,1.760000,1.710000,1.710000,1.623595,40100
2018-08-01,1.710000,1.730000,1.700000,1.730000,1.642584,128400
2018-08-02,1.730000,1.770000,1.730000,1.760000,1.671068,26300
2018-08-03,1.750000,1.830000,1.710000,1.730000,1.642584,85500
2018-08-06,1.720000,1.800000,1.720000,1.780000,1.690057,38700
2018-08-07,1.790000,1.790000,1.720000,1.740000,1.652079,37500
2018-08-08,1.750000,1.820000,1.700000,1.790000,1.699552,115000
2018-08-09,1.740000,1.770000,1.740000,1.750000,1.661573,10700
2018-08-10,1.760000,1.760000,1.730000,1.750000,1.661573,36100
2018-08-13,1.790000,1.790000,1.720000,1.750000,1.661573,26500
2018-08-14,1.750000,1.770000,1.710000,1.720000,1.633089,70400
2018-08-15,1.720000,1.780000,1.710000,1.770000,1.680562,21800
2018-08-16,1.740000,1.760000,1.740000,1.750000,1.661573,64100
2018-08-17,1.730000,1.790000,1.730000,1.780000,1.690057,107100
2018-08-20,1.750000,1.780000,1.720000,1.770000,1.680562,16800
2018-08-21,1.770000,1.780000,1.760000,1.770000,1.680562,24400
2018-08-22,1.770000,1.770000,1.740000,1.760000,1.671068,33400
2018-08-23,1.760000,1.760000,1.690000,1.740000,1.652079,62000
2018-08-24,1.760000,1.760000,1.670000,1.690000,1.604605,54500
2018-08-27,1.690000,1.720000,1.680000,1.680000,1.595110,47900
2018-08-28,1.690000,1.700000,1.670000,1.690000,1.604605,31100
2018-08-29,1.730000,1.730000,1.670000,1.680000,1.595110,58700
2018-08-30,1.680000,1.700000,1.660000,1.660000,1.576121,102200
2018-08-31,1.660000,1.690000,1.660000,1.660000,1.576121,69400
2018-09-03,1.660000,1.680000,1.650000,1.650000,1.566626,49400
2018-09-04,1.660000,1.680000,1.660000,1.680000,1.595110,10000
2018-09-05,1.680000,1.680000,1.660000,1.660000,1.576121,23000
2018-09-06,1.660000,1.740000,1.600000,1.740000,1.652079,1735400
2018-09-10,1.740000,1.740000,1.650000,1.690000,1.604605,68500
2018-09-11,1.700000,1.700000,1.620000,1.680000,1.595110,27200
2018-09-12,1.650000,1.680000,1.650000,1.650000,1.566626,40800
